Time,trustor,trustee,pkts_f,pkts_d,pdr,frds,coi
1170,7,11,1,5,0.166666667,0,0
1170,15,7,8,0,1,0,0
1171,15,2,6,2,0.75,0,0
1172,9,2,8,1,0.888888889,0,1
1172,2,10,6,2,0.75,0,0
1173,12,10,3,5,0.375,0,0
1174,10,3,5,2,0.714285714,0,0
1174,3,11,9,0,1,1,1
1175,3,7,9,0,1,0,0
1175,13,9,2,6,0.25,0,1
1176,14,3,5,3,0.625,0,0
1176,7,3,1,8,0.111111111,0,0
1177,2,6,4,0,1,0,0
1178,8,5,1,0,1,0,0
1178,2,11,3,1,0.75,0,0
1178,13,6,2,0,1,0,0
1179,8,12,1,0,1,0,0
1180,12,3,5,0,1,0,0
1180,1,15,1,0,1,0,1
1181,7,14,3,0,1,0,1
1181,1,9,1,0,1,0,0
1182,11,10,2,4,0.333333333,0,0
1183,13,3,4,2,0.666666667,0,0
1183,6,15,1,3,0.25,0,0
1183,5,6,3,0,1,1,1
1184,6,2,3,1,0.75,0,0
1184,5,14,3,0,1,0,1
1185,13,5,5,4,0.555555556,0,0
1186,9,3,1,1,0.5,0,0
1186,3,12,1,0,1,0,0
1186,12,7,3,6,0.333333333,0,0
1187,9,12,2,0,1,0,1
1187,3,6,1,0,1,0,0
1188,12,9,5,3,0.625,0,1
1189,11,1,8,0,1,0,1
1189,3,14,6,2,0.75,0,0
1189,8,14,1,0,1,0,0
1190,8,1,1,0,1,0,1
1190,3,7,4,4,0.5,0,0
1191,11,8,1,3,0.25,0,1
1192,8,4,1,3,0.25,0,0
1192,2,10,4,1,0.8,0,0
1193,2,15,5,0,1,0,0
1193,12,10,1,2,0.333333333,0,0
1194,9,13,2,6,0.25,0,1
1195,9,2,2,6,0.25,0,1
1195,3,14,3,0,1,0,0
1195,14,7,1,0,1,0,1
1196,15,3,1,0,1,0,1
1197,8,11,2,7,0.222222222,0,1
1197,3,9,2,4,0.333333333,0,0
1198,3,12,1,5,0.166666667,0,0
1198,13,6,2,0,1,0,0
1199,13,5,2,0,1,0,0
1199,8,14,5,4,0.555555556,0,0
1200,1,10,3,2,0.6,1,0
1201,12,1,5,3,0.625,1,0
1201,7,12,2,4,0.333333333,0,0
1202,1,9,5,2,0.714285714,0,0
1202,14,8,4,4,0.5,0,0
1203,1,12,3,4,0.428571429,1,0
1203,10,11,1,8,0.111111111,0,0
1204,13,1,1,1,0.5,0,0
1204,10,1,7,2,0.777777778,1,0
1205,4,6,2,4,0.333333333,0,0
1206,11,1,6,3,0.666666667,0,1
1206,10,12,6,0,1,0,0
1207,10,5,5,1,0.833333333,0,1
1207,2,12,8,1,0.888888889,0,1
1208,14,7,1,1,0.5,0,1
1209,13,2,1,1,0.5,1,1
1209,8,1,4,4,0.5,0,1
1209,1,14,9,1,0.9,0,0
1210,8,12,6,2,0.75,0,0
1211,5,8,2,0,1,0,0
1211,11,8,2,3,0.4,0,1
1212,5,14,2,0,1,0,1
1212,8,14,6,2,0.75,0,0
1213,12,1,3,2,0.6,1,0
1214,8,3,3,4,0.428571429,1,1
1214,2,15,4,4,0.5,0,0
1214,15,10,5,0,1,0,0
1215,8,13,4,3,0.571428571,0,0
1216,2,15,10,0,1,0,0
1216,15,9,7,2,0.777777778,0,0
1217,14,1,5,4,0.555555556,0,0
1217,10,11,2,8,0.2,0,0
1217,2,6,1,9,0.1,0,0
1219,11,1,1,1,0.5,0,1
1219,3,11,4,1,0.8,1,1
1219,8,12,10,0,1,0,0
1220,3,6,4,1,0.8,0,0
1220,15,9,2,0,1,0,0
1221,8,14,10,0,1,0,0
1222,14,1,3,0,1,0,0
1222,8,1,6,4,0.6,0,1
1222,2,9,5,2,0.714285714,0,1
1223,2,15,6,1,0.857142857,0,0
1223,15,7,2,1,0.666666667,0,0
1224,10,15,7,0,1,0,0
1225,13,5,4,1,0.8,0,0
1225,10,5,6,1,0.857142857,0,1
1225,5,12,1,2,0.333333333,1,0
1226,5,9,2,1,0.666666667,1,0
1226,15,6,3,2,0.6,0,0
1227,7,4,1,0,1,0,0
1228,12,3,4,3,0.571428571,0,0
1228,7,12,1,0,1,0,0
1228,1,10,3,3,0.5,1,0
1229,1,14,3,3,0.5,0,0
1229,13,10,7,0,1,0,0
1230,7,2,1,0,1,0,0
1231,2,11,1,6,0.142857143,0,0
1231,13,8,8,1,0.888888889,0,0
1232,15,3,1,8,0.111111111,0,1
1232,8,3,4,4,0.5,1,1
1233,2,9,8,1,0.888888889,0,1
1234,8,5,2,5,0.285714286,0,0
1234,2,15,6,3,0.666666667,0,0
1234,11,7,2,0,1,0,0
1235,8,11,5,2,0.714285714,0,1
1236,13,1,1,0,1,0,0
1236,5,12,3,0,1,1,0
1237,9,2,1,2,0.333333333,0,1
1237,5,9,1,2,0.333333333,1,0
1238,13,4,1,7,0.125,0,0
1239,6,14,5,1,0.833333333,0,1
1239,3,9,5,0,1,0,0
1240,12,9,3,0,1,0,1
1241,10,1,2,3,0.4,1,0
1241,1,11,1,2,0.333333333,0,1
1242,12,1,6,3,0.666666667,1,0
1242,10,13,4,1,0.8,0,0
1243,5,7,5,0,1,1,1
1244,11,3,2,1,0.666666667,1,1
1244,8,3,2,2,0.5,1,1
1244,5,12,3,2,0.6,1,0
1245,14,10,2,1,0.666666667,1,1
1246,8,5,7,2,0.777777778,0,0
1246,2,6,1,0,1,0,0
1247,11,2,4,1,0.8,0,0
1248,10,13,1,0,1,0,0
1248,5,6,7,2,0.777777778,1,1
1249,5,14,2,7,0.222222222,0,1
1249,12,6,3,6,0.333333333,0,0
1250,15,4,7,2,0.777777778,0,0
1250,8,3,2,0,1,1,1
1251,4,8,2,3,0.4,0,0
1252,12,2,1,0,1,0,1
1252,9,2,5,1,0.833333333,0,1
1253,3,9,4,2,0.666666667,0,0
1254,14,2,5,3,0.625,0,0
1254,10,5,3,5,0.375,0,1
1254,3,13,6,0,1,0,0
1255,10,11,4,4,0.5,0,0
1255,12,7,2,6,0.25,0,0
1256,4,6,1,2,0.333333333,0,0
1257,7,15,2,2,0.5,0,0
1257,11,10,2,0,1,0,0
1258,2,11,3,1,0.75,0,0
1259,14,1,1,8,0.111111111,0,0
1259,7,13,7,3,0.7,0,0
1260,5,14,1,0,1,0,1
1261,6,11,1,1,0.5,0,0
1261,12,6,7,0,1,0,0
1262,6,3,2,0,1,0,0
1262,4,7,6,4,0.6,0,0
1263,11,5,1,2,0.333333333,0,0
1263,4,12,2,8,0.2,0,1
1264,8,2,2,4,0.333333333,1,0
1264,11,6,3,0,1,0,0
1265,2,14,3,6,0.333333333,0,0
1266,15,4,1,2,0.333333333,0,0
1266,10,13,3,7,0.3,0,0
1266,2,7,3,6,0.333333333,0,0
1268,7,5,5,5,0.5,1,1
1268,4,13,1,5,0.166666667,0,0
1268,14,8,1,1,0.5,0,0
1269,13,1,2,0,1,0,0
1269,4,9,5,1,0.833333333,0,1
1270,7,4,1,0,1,0,0
1271,7,14,1,0,1,0,1
1271,4,7,4,5,0.444444444,0,0
1271,12,7,3,5,0.375,0,0
1272,14,3,6,2,0.75,0,0
1272,4,14,8,1,0.888888889,1,0
1273,8,4,3,1,0.75,0,0
1274,4,9,1,4,0.2,0,1
1274,11,9,5,4,0.555555556,0,0
1275,10,2,3,1,0.75,0,0
1276,5,6,1,3,0.25,1,1
1276,13,10,3,0,1,0,0
1277,10,2,2,1,0.666666667,0,0
1278,10,14,2,1,0.666666667,1,1
1278,2,6,2,0,1,0,0
1278,14,10,2,0,1,1,1
1280,8,12,1,0,1,0,0
1280,4,6,2,0,1,0,0
1280,13,8,2,4,0.333333333,0,0
1281,8,3,1,0,1,1,1
1281,4,15,2,0,1,0,0
1282,12,10,1,0,1,0,0
1283,14,4,1,0,1,1,0
1283,3,11,2,0,1,1,1
1283,6,14,2,3,0.4,0,1
1285,13,2,1,0,1,1,1
1285,9,4,7,1,0.875,0,1
1285,1,12,1,1,0.5,1,0
1286,1,8,2,0,1,0,1
1286,12,9,1,0,1,0,1
1287,9,5,5,0,1,1,0
1288,4,12,5,0,1,0,1
1288,9,11,2,3,0.4,0,0
1288,11,7,4,1,0.8,0,0
1289,4,6,1,4,0.2,0,0
1290,11,3,3,2,0.6,1,1
1290,10,12,2,5,0.285714286,0,0
1291,10,4,2,5,0.285714286,1,0
1291,2,9,4,3,0.571428571,0,1
1291,13,7,3,2,0.6,0,0
1292,2,15,7,0,1,0,0
1293,8,3,1,0,1,1,1
1293,11,8,1,3,0.25,0,1
1294,12,3,3,1,0.75,0,0
1294,3,7,1,2,0.333333333,0,0
1295,7,14,1,7,0.125,0,1
1296,12,2,5,2,0.714285714,0,1
1296,7,4,6,2,0.75,0,0
1296,4,14,8,0,1,1,0
1297,15,6,6,1,0.857142857,0,0
1298,6,1,1,3,0.25,0,0
1298,1,7,5,3,0.625,1,0
1299,1,11,8,0,1,0,1
1299,6,13,3,1,0.75,0,0
1299,13,7,4,6,0.4,0,0
1300,12,4,5,5,0.5,0,1
1301,4,14,6,0,1,1,0
1301,9,13,4,1,0.8,0,1
1302,13,2,6,4,0.6,1,1
1303,8,5,1,6,0.142857143,0,0
1303,2,15,3,6,0.333333333,0,0
1304,8,13,4,3,0.571428571,0,0
1304,2,7,5,4,0.555555556,0,0
1304,12,6,2,0,1,0,0
1306,15,4,4,6,0.4,0,0
1306,2,13,4,1,0.8,1,1
1306,9,11,2,7,0.222222222,0,0
1307,2,9,2,3,0.4,0,1
1307,12,8,7,3,0.7,0,0
1308,8,1,3,5,0.375,0,1
1309,15,5,1,1,0.5,0,0
1309,8,15,3,5,0.375,0,1
1309,3,7,2,0,1,0,0
1310,3,15,1,1,0.5,0,1
1311,9,5,2,5,0.285714286,1,0
1311,11,7,6,0,1,0,0
1312,11,3,6,0,1,1,1
1312,2,15,10,0,1,0,0
1312,9,14,2,5,0.285714286,0,0
1314,13,4,1,0,1,0,0
1314,7,2,2,0,1,0,0
1314,2,7,1,0,1,0,0
1315,2,14,1,0,1,0,0
1315,11,8,1,0,1,0,1
1316,6,2,4,6,0.4,0,0
1317,15,4,3,0,1,0,0
1317,5,14,6,1,0.857142857,0,1
1317,6,12,8,2,0.8,0,0
1318,5,7,6,1,0.857142857,1,1
1318,13,8,1,2,0.333333333,0,0
1319,10,13,3,1,0.75,0,0
1320,10,3,3,1,0.75,0,0
1320,1,14,3,6,0.333333333,0,0
1320,14,8,1,1,0.5,0,0
1321,13,1,1,1,0.5,0,0
1321,1,8,5,4,0.555555556,0,1
1322,9,3,4,3,0.571428571,0,0
1323,13,3,1,0,1,0,0
1323,9,14,1,6,0.142857143,0,0
1323,5,9,2,1,0.666666667,1,0
1324,14,9,1,0,1,0,0
1325,8,4,1,2,0.333333333,0,0
1325,5,10,2,0,1,0,1
1326,5,11,2,0,1,0,0
1326,12,7,1,3,0.25,0,0
1327,6,14,3,2,0.6,0,1
1328,6,1,1,4,0.2,0,0
1328,3,8,5,4,0.555555556,1,1
1328,15,9,4,2,0.666666667,0,0
1329,14,5,2,4,0.333333333,0,1
1330,6,15,1,8,0.111111111,0,0
1330,3,6,6,3,0.666666667,0,0
1331,3,12,9,0,1,0,0
1331,12,9,5,0,1,0,1
1332,7,5,3,1,0.75,1,1
1333,11,5,3,1,0.75,0,0
1333,7,11,1,3,0.25,0,0
1333,1,6,1,1,0.5,0,0
1335,8,15,1,3,0.25,0,1
1335,5,9,1,8,0.111111111,1,0
1335,11,9,4,0,1,0,0
1336,11,4,3,1,0.75,0,0
1336,8,5,3,1,0.75,0,0
1337,1,11,1,0,1,0,1
1338,6,2,3,0,1,0,0
1338,1,9,1,0,1,0,0
1338,12,8,8,1,0.888888889,0,0
1339,14,4,5,4,0.555555556,1,0
1340,6,5,2,2,0.5,1,1
1340,5,14,1,1,0.5,0,1
1341,6,12,1,3,0.25,0,0
1341,12,8,1,1,0.5,0,0
1342,1,7,7,0,1,1,0
1343,14,4,1,9,0.1,1,0
1343,6,4,1,0,1,0,0
1344,4,13,7,2,0.777777778,0,0
1345,15,2,1,1,0.5,0,0
1345,9,2,6,0,1,0,1
1345,4,10,3,6,0.333333333,1,0
1347,11,5,6,2,0.75,0,0
1347,8,3,7,0,1,1,1
1347,1,7,4,4,0.5,1,0
1348,1,14,3,5,0.375,0,0
1348,8,12,3,4,0.428571429,0,0
1349,15,2,3,0,1,0,0
1350,10,2,8,0,1,0,0
1350,1,7,1,1,0.5,1,0
1350,12,7,2,1,0.666666667,0,0
1351,10,12,6,2,0.75,0,0
1352,2,9,2,0,1,0,1
1352,15,10,4,4,0.5,0,0
1353,11,1,7,1,0.875,0,1
1353,2,12,2,0,1,0,1
1353,9,14,1,4,0.2,0,0
1354,9,5,1,4,0.2,1,0
1355,5,14,2,0,1,0,1
1355,15,8,2,4,0.333333333,0,1
1356,15,3,3,3,0.5,0,1
1356,10,13,5,1,0.833333333,0,0
1357,1,8,3,2,0.6,0,1
1358,1,13,2,3,0.4,0,0
1358,7,14,4,6,0.4,0,1
1358,12,8,4,2,0.666666667,0,0
1359,7,3,2,8,0.2,0,0
1360,3,12,7,2,0.777777778,0,0
1360,12,6,2,1,0.666666667,0,0
1361,8,13,2,0,1,0,0
1362,3,8,3,0,1,1,1
1362,15,8,4,0,1,0,1
1363,3,11,3,0,1,1,1
1363,10,14,4,3,0.571428571,1,1
1364,10,2,2,5,0.285714286,0,0
1364,11,9,1,3,0.25,0,0
1365,12,3,3,1,0.75,0,0
1365,1,6,1,0,1,0,0
1366,6,5,1,0,1,1,1
1366,1,14,1,0,1,0,0
1367,6,11,1,0,1,0,0
1367,11,8,3,5,0.375,0,1
1368,4,15,3,0,1,0,0
1369,11,4,3,2,0.6,0,0
1369,8,2,1,1,0.5,1,0
1370,8,11,2,0,1,0,1
1370,4,9,4,1,0.8,0,1
1371,12,5,6,0,1,1,0
1371,4,13,4,1,0.8,0,0
1372,8,13,2,8,0.2,0,0
1372,15,10,2,4,0.333333333,0,0
1373,8,3,2,8,0.2,1,1
1373,3,14,2,0,1,0,0
1374,15,8,4,2,0.666666667,0,1
1375,12,2,6,0,1,0,1
1375,2,12,3,0,1,0,1
1375,10,13,6,4,0.6,0,0
1377,15,2,1,0,1,0,0
1377,3,11,8,1,0.888888889,1,1
1377,7,13,4,0,1,0,0
1378,12,10,1,0,1,0,0
1379,8,5,1,4,0.2,0,0
1379,5,13,2,8,0.2,0,0
1380,8,15,3,2,0.6,0,1
1380,15,7,2,1,0.666666667,0,0
1381,2,13,1,1,0.5,1,1
1382,13,2,7,3,0.7,1,1
1382,6,3,1,5,0.166666667,0,0
1383,3,12,8,2,0.8,0,0
1383,6,12,6,0,1,0,0
1383,15,9,2,8,0.2,0,0
1385,6,1,2,4,0.333333333,0,0
1385,4,9,1,2,0.333333333,0,1
1385,11,7,1,7,0.125,0,0
1386,4,14,2,1,0.666666667,1,0
1386,6,14,3,3,0.5,0,1
1387,14,9,3,1,0.75,0,0
1388,14,5,2,2,0.5,0,1
1388,10,5,1,1,0.5,0,1
1388,1,10,2,2,0.5,1,0
1389,10,13,1,1,0.5,0,0
1390,2,12,1,0,1,0,1
1390,14,7,1,2,0.333333333,0,1
1391,6,12,3,2,0.6,0,0
1392,6,2,1,4,0.2,0,0
1392,5,11,2,6,0.25,0,0
1392,11,10,2,8,0.2,0,0
1394,13,3,2,2,0.5,0,0
1394,9,14,7,0,1,0,0
1394,4,7,6,3,0.666666667,0,0
1395,9,1,5,2,0.714285714,0,0
1395,4,15,9,0,1,0,0
1396,15,5,5,2,0.714285714,0,0
1397,9,15,3,0,1,0,0
1397,5,6,9,1,0.9,1,1
1398,5,11,4,6,0.4,0,0
1398,14,6,1,0,1,0,1
1399,9,5,7,1,0.875,1,0
1400,5,9,4,1,0.8,1,0
1400,12,6,1,8,0.111111111,0,0
1401,14,4,8,1,0.888888889,1,0
1401,5,15,4,1,0.8,0,0
1401,8,13,5,0,1,0,0
1402,8,4,3,2,0.6,0,0
1403,4,10,2,0,1,1,0
1403,14,10,1,4,0.2,1,1
1404,15,4,5,0,1,0,0
1404,7,14,2,0,1,0,1
1405,1,8,4,3,0.571428571,0,1
1406,8,2,6,0,1,1,0
1406,14,9,2,4,0.333333333,0,0
1407,8,15,1,5,0.166666667,0,1
1407,1,6,2,0,1,0,0
1408,12,6,1,2,0.333333333,0,0
1409,2,11,8,1,0.888888889,0,0
1409,8,11,2,2,0.5,0,1
1410,11,10,7,0,1,0,0
1411,5,13,8,2,0.8,0,0
1411,10,13,1,2,0.333333333,0,0
1412,15,3,1,1,0.5,0,1
1412,5,10,1,9,0.1,0,1
1413,6,12,1,5,0.166666667,0,0
1413,11,8,2,0,1,0,1
1414,6,1,2,4,0.333333333,0,0
1414,4,7,5,0,1,0,0
1415,13,5,2,3,0.4,0,0
1415,4,11,5,0,1,0,0
1416,7,15,1,3,0.25,0,0
1417,13,5,1,2,0.333333333,0,0
1417,3,14,7,3,0.7,0,0
1418,6,13,3,4,0.428571429,0,0
1419,11,3,1,4,0.2,1,1
1419,6,1,7,0,1,0,0
1419,4,15,3,7,0.3,0,0
1420,4,7,7,3,0.7,0,0
1421,8,1,5,3,0.625,0,1
1421,13,8,2,2,0.5,0,0
1422,4,15,2,0,1,0,0
1423,13,1,1,0,1,0,0
1423,10,13,5,0,1,0,0
1423,4,6,1,1,0.5,0,0
1424,14,10,1,0,1,1,1
1425,6,14,1,1,0.5,0,1
1425,2,6,5,1,0.833333333,0,0
1426,2,15,2,4,0.333333333,0,0
1426,14,7,4,1,0.8,0,1
1427,6,2,1,6,0.142857143,0,0
1428,4,11,1,0,1,0,0
1428,6,12,6,1,0.857142857,0,0
1428,15,8,2,0,1,0,1
1429,4,7,1,0,1,0,0
1430,15,4,7,0,1,0,0
1430,7,12,4,1,0.8,0,0
1431,2,6,1,7,0.125,0,0
1432,12,5,9,0,1,1,0
1432,10,3,1,8,0.111111111,0,0
1432,2,15,2,6,0.25,0,0
1433,10,15,6,3,0.666666667,0,0
1434,3,8,2,3,0.4,1,1
1434,14,7,7,1,0.875,0,1
1435,14,4,3,5,0.375,1,0
1435,9,14,10,0,1,0,0
1436,9,2,7,3,0.7,0,1
1436,2,11,4,5,0.444444444,0,0
1437,15,10,3,0,1,0,0
1438,6,11,5,3,0.625,0,0
1438,1,7,2,7,0.222222222,1,0
1439,6,3,2,6,0.25,0,0
1439,14,9,1,2,0.333333333,0,0
1440,4,12,9,0,1,0,1
1441,10,13,6,1,0.857142857,0,0
1441,12,8,2,0,1,0,0
1442,10,3,3,4,0.428571429,0,0
1442,1,8,8,0,1,0,1
1443,13,3,1,1,0.5,0,0
1443,1,11,7,1,0.875,0,1
1444,10,13,5,5,0.5,0,0
1444,14,9,2,0,1,0,0
1445,10,4,5,5,0.5,1,0
1445,4,9,1,0,1,0,1
1446,15,3,4,0,1,0,1
1446,4,11,1,0,1,0,0
1447,6,12,1,6,0.142857143,0,0
1448,6,1,4,3,0.571428571,0,0
1448,13,3,7,1,0.875,0,0
1448,5,9,2,8,0.2,1,0
1449,5,12,4,6,0.4,1,0
1450,6,5,4,0,1,1,1
1450,15,1,5,0,1,0,1
1451,6,14,3,1,0.75,0,1
1451,4,9,4,0,1,0,1
1452,4,15,1,3,0.25,0,0
1452,12,9,1,1,0.5,0,1
1453,6,3,1,7,0.125,0,0
1453,13,1,1,1,0.5,0,0
1454,3,14,3,0,1,0,0
1454,6,11,4,4,0.5,0,0
1455,14,2,4,2,0.666666667,0,0
1455,3,8,2,1,0.666666667,1,1
1456,10,12,4,4,0.5,0,0
1456,13,10,1,5,0.166666667,0,0
1457,10,4,1,7,0.125,1,0
1457,3,15,2,4,0.333333333,0,1
1458,12,2,5,2,0.714285714,0,1
1459,9,4,2,7,0.222222222,0,1
1459,3,11,8,0,1,1,1
1460,13,3,1,5,0.166666667,0,0
1460,3,6,6,2,0.75,0,0
1461,8,2,3,0,1,1,0
1462,1,9,1,6,0.142857143,0,0
1462,14,8,2,3,0.4,0,0
1463,6,15,1,2,0.333333333,0,0
1464,1,6,7,3,0.7,0,0
1464,13,9,2,8,0.2,0,1
1465,8,4,1,0,1,0,0
1465,11,4,9,1,0.9,0,0
1466,5,14,6,0,1,0,1
1466,8,12,1,0,1,0,0
1467,12,5,4,0,1,1,0
1467,5,7,6,0,1,1,1
1468,10,12,1,7,0.125,0,0
1468,12,10,3,1,0.75,0,0
1469,10,3,5,3,0.625,0,0
1469,4,9,4,3,0.571428571,0,1
1470,4,12,7,0,1,0,1
1470,14,7,1,0,1,0,1
1471,13,1,1,0,1,0,0
1471,9,14,4,4,0.5,0,0
1472,4,8,2,1,0.666666667,0,0
1473,4,15,2,1,0.666666667,0,0
1473,9,13,9,1,0.9,0,1
1473,12,8,3,1,0.75,0,0
1474,9,2,8,2,0.8,0,1
1475,1,9,2,2,0.5,0,0
1475,14,10,3,4,0.428571429,1,1
1476,10,2,2,0,1,0,0
1477,13,4,3,7,0.3,0,0
1477,10,14,2,0,1,1,1
1477,5,9,1,5,0.166666667,1,0
1479,6,3,6,2,0.75,0,0
1479,1,9,5,0,1,0,0
1479,12,10,7,0,1,0,0
1480,12,2,3,4,0.428571429,0,1
1480,6,13,7,1,0.875,0,0
1481,5,14,2,1,0.666666667,0,1
1482,12,2,1,0,1,0,1
1482,6,12,4,6,0.4,0,0
1482,5,8,1,2,0.333333333,0,0
1483,14,7,1,0,1,0,1
1484,9,15,9,0,1,0,0
1484,1,8,7,1,0.875,0,1
1485,14,8,1,5,0.166666667,0,0
1486,9,14,1,0,1,0,0
1486,4,6,5,4,0.555555556,0,0
1487,9,3,1,0,1,0,0
1487,14,7,2,2,0.5,0,1
1488,3,12,5,0,1,0,0
1489,10,11,6,3,0.666666667,0,0
1489,13,6,2,7,0.222222222,0,0
1490,10,3,1,8,0.111111111,0,0
1490,3,10,2,2,0.5,0,0
1491,15,7,3,0,1,0,0
1492,7,15,3,1,0.75,0,0
1492,5,7,4,0,1,1,1
1493,7,4,4,0,1,0,0
1493,15,1,2,2,0.5,0,1
1494,4,8,5,1,0.833333333,0,0
1495,6,2,2,0,1,0,0
1495,4,13,1,5,0.166666667,0,0
1495,12,9,3,3,0.5,0,1
1496,11,4,2,4,0.333333333,0,0
1496,6,11,1,1,0.5,0,0
1497,5,9,1,0,1,1,0
1498,7,12,6,3,0.666666667,0,0
1498,13,6,7,2,0.777777778,0,0
1499,1,12,3,2,0.6,1,0
1500,15,3,1,0,1,0,1
1500,7,13,5,1,0.833333333,0,0
1501,1,11,1,2,0.333333333,0,1
1502,6,12,4,2,0.666666667,0,0
1502,11,7,3,7,0.3,0,0
1503,6,5,1,5,0.166666667,1,1
1503,12,2,8,2,0.8,0,1
1503,1,13,4,0,1,0,0
1505,12,5,2,0,1,1,0
1505,1,14,3,1,0.75,0,0
1505,9,13,1,0,1,0,1
1506,9,4,1,0,1,0,1
1506,13,10,2,0,1,0,0
1507,2,15,2,0,1,0,0
1508,8,2,3,1,0.75,1,0
1508,13,5,7,0,1,0,0
1509,8,15,3,1,0.75,0,1
1509,2,7,2,3,0.4,0,0
1509,15,6,3,4,0.428571429,0,0
1510,2,11,1,4,0.2,0,0
1511,10,2,1,0,1,0,0
1511,12,10,1,5,0.166666667,0,0
1512,2,9,6,3,0.666666667,0,1
1513,10,1,3,3,0.5,1,0
1513,11,2,2,4,0.333333333,0,0
1514,4,12,5,3,0.625,0,1
1514,13,10,5,1,0.833333333,0,0
1515,7,12,7,2,0.777777778,0,0
1515,4,8,2,6,0.25,0,0
1516,11,9,1,2,0.333333333,0,0
1517,12,3,2,1,0.666666667,0,0
1517,2,12,1,1,0.5,0,1
1517,7,12,3,7,0.3,0,0
1518,7,1,5,5,0.5,1,0
1518,2,10,1,1,0.5,0,0
1519,13,4,2,0,1,0,0
1520,6,12,2,3,0.4,0,0
1520,1,7,2,1,0.666666667,1,0
1520,12,10,1,1,0.5,0,0
1521,6,4,4,1,0.8,0,0
1522,1,14,2,6,0.25,0,0
1522,14,8,1,4,0.2,0,0
1523,15,3,3,2,0.6,0,1
1523,6,15,3,2,0.6,0,0
1523,1,6,8,0,1,0,0
1525,8,15,5,0,1,0,1
1525,5,6,2,4,0.333333333,1,1
1525,11,9,2,0,1,0,0
1526,5,11,1,5,0.166666667,0,0
1527,9,1,4,0,1,0,0
1527,11,4,3,1,0.75,0,0
1528,3,15,1,0,1,0,1
1529,13,3,2,1,0.666666667,0,0
1529,6,12,7,1,0.875,0,0
1530,4,13,7,3,0.7,0,0
1531,8,3,7,2,0.777777778,1,1
1531,12,10,1,2,0.333333333,0,0
1532,1,10,5,1,0.833333333,1,0
1533,8,1,3,7,0.3,0,1
1533,11,4,5,1,0.833333333,0,0
1533,1,12,1,5,0.166666667,1,0
1534,8,15,10,0,1,0,1
1535,15,3,8,1,0.888888889,0,1
1535,2,14,2,0,1,0,0
1536,9,1,1,4,0.2,0,0
1536,14,6,6,3,0.666666667,0,1
1537,2,13,5,2,0.714285714,1,1
1538,7,4,8,1,0.888888889,0,0
1538,11,9,3,7,0.3,0,0
1539,1,6,1,1,0.5,0,0
1540,9,1,2,0,1,0,0
1540,13,4,5,3,0.625,0,0
1541,9,12,1,1,0.5,0,1
1541,4,7,1,0,1,0,0
1541,14,6,5,3,0.625,0,1
1542,4,11,1,0,1,0,0
1543,6,12,2,1,0.666666667,0,0
1543,13,10,2,0,1,0,0
1544,1,8,3,5,0.375,0,1
1545,7,3,1,0,1,0,0
1545,12,3,10,0,1,0,0
1545,1,14,2,6,0.25,0,0
1547,9,2,5,3,0.625,0,1
1547,5,15,4,1,0.8,0,0
1547,11,8,8,2,0.8,0,1
1549,12,5,1,1,0.5,1,0
1549,10,15,2,4,0.333333333,0,0
1549,4,10,5,5,0.5,1,0
1550,4,14,10,0,1,1,0
1550,11,8,1,1,0.5,0,1
1551,8,11,4,6,0.4,0,1
1552,15,5,7,0,1,0,0
1552,4,8,2,0,1,0,0
1553,7,2,2,6,0.25,0,0
1553,14,9,4,3,0.571428571,0,0
1554,2,6,5,4,0.555555556,0,0
1555,2,13,7,2,0.777777778,1,1
1555,9,14,1,2,0.333333333,0,0
1555,15,7,2,2,0.5,0,0
1556,12,4,3,1,0.75,0,1
1557,7,14,1,3,0.25,0,1
1557,3,8,6,2,0.75,1,1
1558,3,11,4,4,0.5,1,1
1558,11,10,1,2,0.333333333,0,0
1559,8,2,1,8,0.111111111,1,0
1560,12,2,10,0,1,0,1
1560,5,13,1,2,0.333333333,0,0
1560,8,11,6,3,0.666666667,0,1
1561,5,8,2,1,0.666666667,0,0
1561,12,10,7,3,0.7,0,0
1562,7,4,1,9,0.1,0,0
1563,7,12,7,3,0.7,0,0
1563,5,10,1,9,0.1,0,1
1563,14,7,1,2,0.333333333,0,1
1565,11,5,6,3,0.666666667,0,0
1565,7,15,2,8,0.2,0,0
1565,2,6,1,4,0.2,0,0
1566,2,13,2,3,0.4,1,1
1567,7,13,2,5,0.285714286,0,0
1567,15,6,4,5,0.444444444,0,0
1568,7,4,5,2,0.714285714,0,0
1568,15,3,3,6,0.333333333,0,1
1568,3,7,1,0,1,0,0
1570,10,12,4,3,0.571428571,0,0
1570,1,10,5,4,0.555555556,1,0
1570,12,6,1,3,0.25,0,0
1571,1,13,8,1,0.888888889,0,0
1572,14,2,2,1,0.666666667,0,0
1572,7,12,1,3,0.25,0,0
1573,2,13,2,1,0.666666667,1,1
1574,9,3,1,1,0.5,0,0
1574,13,2,1,9,0.1,1,1
1575,2,14,5,4,0.555555556,0,0
1575,9,15,2,0,1,0,0
1576,13,10,2,8,0.2,0,0
1577,3,11,4,2,0.666666667,1,1
1577,6,14,6,2,0.75,0,1
1578,11,1,3,0,1,0,1
1579,8,15,1,7,0.125,0,1
1579,3,10,4,2,0.666666667,0,0
1580,8,1,6,2,0.75,0,1
